"Dataset_Type","Sample_Size","Simulation","n","p","MeLSI_F","MeLSI_p","MeLSI_significant","Euclidean_F","Euclidean_p","Euclidean_significant","BrayCurtis_F","BrayCurtis_p","BrayCurtis_significant","Jaccard_F","Jaccard_p","Jaccard_significant","WeightedUniFrac_F","WeightedUniFrac_p","WeightedUniFrac_significant","UnweightedUniFrac_F","UnweightedUniFrac_p","UnweightedUniFrac_significant","Best_Traditional","Best_Traditional_F"
"Null Real Shuffled",200,11,200,130,0.976872278531838,0.796019900497512,FALSE,0.745896446912025,0.704,FALSE,1.2967685307679,0.215,FALSE,0.130480737425802,0.915,FALSE,1.28497409993516,0.282,FALSE,0.527965398199816,0.621,FALSE,"BrayCurtis",1.2967685307679
"Null Synthetic",50,12,50,200,1.11889400051501,0.82089552238806,FALSE,0.895126596546641,0.834,FALSE,0.90688892260263,0.781,FALSE,0.75726925958339,0.898,FALSE,0.591031355948716,0.983,FALSE,0.830560817271704,0.811,FALSE,"BrayCurtis",0.90688892260263
"Null Real Shuffled",50,12,50,130,1.60443200630418,0.258706467661692,FALSE,1.25858455161146,0.21,FALSE,1.40951317112986,0.177,FALSE,0.655784087264801,0.55,FALSE,1.89347006800572,0.117,FALSE,0.913568573886253,0.399,FALSE,"WeightedUniFrac",1.89347006800572
"Null Synthetic",100,12,100,200,1.33979793495962,0.323383084577114,FALSE,1.02449192114588,0.393,FALSE,1.03069929459436,0.397,FALSE,0.918729117150786,0.681,FALSE,0.749130077216391,0.87,FALSE,0.947503546882626,0.587,FALSE,"BrayCurtis",1.03069929459436
"Null Synthetic",50,2,50,200,1.39988822587293,0.0796019900497512,FALSE,1.16930867541929,0.057,FALSE,1.07966456796788,0.246,FALSE,1.34165480489168,0.049,TRUE,0.92473246481694,0.535,FALSE,1.22201135724798,0.185,FALSE,"Jaccard",1.34165480489168
"Null Real Shuffled",100,12,100,130,0.785782350519631,0.920398009950249,FALSE,0.606305972371144,0.885,FALSE,0.928049808366254,0.459,FALSE,0.868679240759891,0.441,FALSE,0.991731341272521,0.408,FALSE,0.717980003784849,0.459,FALSE,"WeightedUniFrac",0.991731341272521
"Null Synthetic",200,12,200,200,1.34172852885174,0.522388059701492,FALSE,1.01918837845872,0.393,FALSE,1.04718173546298,0.353,FALSE,1.02589436829285,0.442,FALSE,0.930852485872366,0.6,FALSE,0.821478282653808,0.803,FALSE,"BrayCurtis",1.04718173546298
"Null Real Shuffled",200,12,200,130,1.19316774369094,0.611940298507463,FALSE,0.913177360252305,0.507,FALSE,1.10754338467783,0.336,FALSE,0.871650103269965,0.425,FALSE,1.08567402449534,0.358,FALSE,0.690907016773808,0.524,FALSE,"BrayCurtis",1.10754338467783
"Null Synthetic",50,13,50,200,1.12085881338851,0.781094527363184,FALSE,0.913930885584079,0.816,FALSE,0.871579433572593,0.879,FALSE,0.976439620181842,0.531,FALSE,0.799255618807711,0.813,FALSE,0.968090226454556,0.561,FALSE,"Jaccard",0.976439620181842
"Null Real Shuffled",50,13,50,130,1.04733045406293,0.676616915422886,FALSE,0.914815041103512,0.493,FALSE,1.08211495422578,0.345,FALSE,0.0984766098570643,0.927,FALSE,1.03004389930788,0.362,FALSE,-0.0129781684876843,0.948,FALSE,"BrayCurtis",1.08211495422578
"Null Synthetic",100,13,100,200,1.06585588219254,0.975124378109453,FALSE,0.831984201346907,0.947,FALSE,0.8666729366574,0.85,FALSE,1.08143163917476,0.295,FALSE,0.705121472104419,0.938,FALSE,1.11507710872571,0.283,FALSE,"UnweightedUniFrac",1.11507710872571
"Null Real Shuffled",100,13,100,130,1.64930439096012,0.278606965174129,FALSE,1.38169757708654,0.155,FALSE,1.31799701157074,0.219,FALSE,0.681929177052442,0.526,FALSE,1.07072216417009,0.355,FALSE,0.692048865504086,0.529,FALSE,"Euclidean",1.38169757708654
"Null Synthetic",200,13,200,200,1.0853564679255,0.995024875621891,FALSE,0.803254833559955,0.985,FALSE,0.955218875717056,0.636,FALSE,0.721367103828031,0.952,FALSE,0.884585774926446,0.644,FALSE,0.700057044648446,0.923,FALSE,"BrayCurtis",0.955218875717056
"Null Real Shuffled",200,13,200,130,1.54050304773979,0.343283582089552,FALSE,1.09189030301671,0.327,FALSE,1.2219795277562,0.266,FALSE,0.255113517637404,0.859,FALSE,1.11391698639143,0.31,FALSE,0.341854457662578,0.763,FALSE,"BrayCurtis",1.2219795277562
"Null Synthetic",50,14,50,200,1.21004301135867,0.462686567164179,FALSE,0.99787498518049,0.491,FALSE,1.1101116921494,0.152,FALSE,1.05250242092704,0.395,FALSE,0.97456513546812,0.503,FALSE,0.789199794746387,0.846,FALSE,"BrayCurtis",1.1101116921494
"Null Real Shuffled",50,2,50,130,1.09720743737882,0.63681592039801,FALSE,0.788201671854813,0.721,FALSE,0.741392532277871,0.697,FALSE,2.5217755475714,0.075,FALSE,0.638493827978049,0.741,FALSE,2.55537797702761,0.091,FALSE,"UnweightedUniFrac",2.55537797702761
"Null Real Shuffled",50,14,50,130,1.44213548878577,0.258706467661692,FALSE,0.998364024832876,0.425,FALSE,1.37538266007099,0.198,FALSE,1.27697659969223,0.289,FALSE,1.85998785578697,0.103,FALSE,1.51572466714478,0.194,FALSE,"WeightedUniFrac",1.85998785578697
"Null Synthetic",100,14,100,200,1.2646761490807,0.641791044776119,FALSE,1.00526686457909,0.468,FALSE,0.985652221662126,0.532,FALSE,1.05735977563972,0.356,FALSE,0.762838451791515,0.88,FALSE,1.01087759453622,0.448,FALSE,"Jaccard",1.05735977563972
"Null Real Shuffled",100,14,100,130,1.41783645484907,0.407960199004975,FALSE,1.07709984605138,0.336,FALSE,0.917558532950698,0.498,FALSE,0.698900591494363,0.525,FALSE,1.14531080503218,0.338,FALSE,0.602087705769178,0.549,FALSE,"WeightedUniFrac",1.14531080503218
"Null Synthetic",200,14,200,200,1.34738613213612,0.472636815920398,FALSE,1.03620223200709,0.338,FALSE,1.06882345343483,0.271,FALSE,1.05491411227795,0.372,FALSE,0.947369955242691,0.519,FALSE,1.05572296007752,0.391,FALSE,"BrayCurtis",1.06882345343483
"Null Real Shuffled",200,14,200,130,0.872916540909279,0.925373134328358,FALSE,0.886969923862601,0.53,FALSE,1.25845105837838,0.233,FALSE,0.622973470829112,0.576,FALSE,1.0055960843954,0.409,FALSE,0.38402371229077,0.701,FALSE,"BrayCurtis",1.25845105837838
