"Correlation_Level","Correlation_Value","Sample_Size","Simulation","MeLSI_F","MeLSI_p","MeLSI_significant","Precision_5","Precision_10","Precision_20","Recall_5","Recall_10","Recall_20","Mean_Rank","AUC_ROC","Euclidean_F","Euclidean_p","Euclidean_significant","BrayCurtis_F","BrayCurtis_p","BrayCurtis_significant","Jaccard_F","Jaccard_p","Jaccard_significant","WeightedUniFrac_F","WeightedUniFrac_p","WeightedUniFrac_significant","UnweightedUniFrac_F","UnweightedUniFrac_p","UnweightedUniFrac_significant","Best_Traditional","Best_Traditional_F"
"Moderate",0.6,100,32,1.29114830093138,0.497512437810945,FALSE,0.6,0.3,0.2,0.3,0.3,0.4,18.6666666666667,0.895674300254453,0.991484009273907,0.535,FALSE,1.24157741874023,0.029,TRUE,1.29110891435276,0.056,FALSE,1.16276832395826,0.255,FALSE,1.45452901939386,0.018,TRUE,"UnweightedUniFrac",1.45452901939386
"Moderate",0.6,100,33,1.31988783224483,0.383084577114428,FALSE,0.6,0.3,0.2,0.3,0.3,0.4,43.7777777777778,0.703986429177269,1.08916189132361,0.184,FALSE,1.39451282531164,0.003,TRUE,0.773693023371103,0.898,FALSE,1.19569353123809,0.213,FALSE,0.822397881753636,0.793,FALSE,"BrayCurtis",1.39451282531164
"Moderate",0.6,100,34,1.56470516593217,0.054726368159204,FALSE,0.4,0.3,0.25,0.2,0.3,0.5,44.7777777777778,0.696352841391009,1.20918558458607,0.033,TRUE,1.43277024937849,0.001,TRUE,0.878499243625015,0.732,FALSE,1.59062440215753,0.041,TRUE,0.90656715738443,0.677,FALSE,"WeightedUniFrac",1.59062440215753
"Moderate",0.6,100,34,1.49237050883091,0.0746268656716418,FALSE,0.8,0.5,0.3,0.4,0.5,0.6,34.7,0.775384615384615,1.24833797757077,0.01,TRUE,1.44555112304274,0.001,TRUE,1.04314439506293,0.386,FALSE,1.13016566409433,0.28,FALSE,0.903473159627153,0.657,FALSE,"BrayCurtis",1.44555112304274
"Moderate",0.6,100,36,1.53531092036957,0.00995024875621891,TRUE,0.4,0.3,0.2,0.2,0.3,0.4,44.9,0.696923076923077,1.22212362743766,0.022,TRUE,1.55717125883026,0.001,TRUE,1.08131330503152,0.299,FALSE,1.58110134432826,0.051,FALSE,1.18156660720237,0.189,FALSE,"WeightedUniFrac",1.58110134432826
"Moderate",0.6,100,37,1.49469049200838,0.0696517412935323,FALSE,0.8,0.5,0.3,0.4,0.5,0.6,19,0.896153846153846,1.33737354347515,0.002,TRUE,1.64097038026508,0.001,TRUE,1.17173426335656,0.177,FALSE,1.61263171232068,0.044,TRUE,1.21149435847432,0.145,FALSE,"BrayCurtis",1.64097038026508
"Moderate",0.6,100,38,1.3778298757128,0.203980099502488,FALSE,0.2,0.2,0.25,0.1,0.2,0.5,41.8,0.720769230769231,1.11490967294498,0.143,FALSE,1.38685641022524,0.002,TRUE,0.982407502021831,0.509,FALSE,1.24049214200876,0.184,FALSE,0.903817299576109,0.68,FALSE,"BrayCurtis",1.38685641022524
"Moderate",0.6,100,35,1.62580921732914,0.0149253731343284,TRUE,0.6,0.5,0.35,0.3,0.5,0.7,13.5555555555556,0.934690415606446,1.28551276842268,0.006,TRUE,1.72385856453068,0.001,TRUE,1.1750085100514,0.171,FALSE,1.49009407150126,0.061,FALSE,1.24673687255531,0.113,FALSE,"BrayCurtis",1.72385856453068
"None",0,100,14,1.57103933998846,0.0199004975124378,TRUE,0.6,0.5,0.3,0.3,0.5,0.6,28,0.826923076923077,1.34093581608131,0.002,TRUE,1.73613951159861,0.001,TRUE,1.03152202070702,0.413,FALSE,2.53236708634893,0.002,TRUE,0.961799215681019,0.568,FALSE,"WeightedUniFrac",2.53236708634893
"Moderate",0.6,100,40,1.22476473089773,0.661691542288557,FALSE,0.4,0.2,0.15,0.2,0.2,0.3,42.8888888888889,0.710771840542833,0.966717848630485,0.629,FALSE,1.30761110545935,0.014,TRUE,0.717401556070337,0.938,FALSE,1.75809131887493,0.022,TRUE,0.697076380385569,0.922,FALSE,"WeightedUniFrac",1.75809131887493
"Moderate",0.6,100,41,1.47088303261643,0.0945273631840796,FALSE,0.4,0.5,0.25,0.2,0.5,0.5,35.8,0.766923076923077,1.18719011653491,0.056,FALSE,1.49131177461964,0.001,TRUE,1.01615516758966,0.442,FALSE,1.41050778235348,0.093,FALSE,0.814506351940785,0.807,FALSE,"BrayCurtis",1.49131177461964
"Moderate",0.6,100,42,1.66496765265499,0.00497512437810945,TRUE,0.4,0.2,0.25,0.2,0.2,0.5,29.7777777777778,0.810856658184902,1.3037946313293,0.003,TRUE,1.75242482896607,0.001,TRUE,1.09896837998502,0.278,FALSE,1.48773532302993,0.07,FALSE,0.869975086679796,0.697,FALSE,"BrayCurtis",1.75242482896607
"Moderate",0.6,100,36,1.60302769760025,0.00995024875621891,TRUE,0.8,0.5,0.3,0.4,0.5,0.6,21.6,0.876153846153846,1.35914806190313,0.001,TRUE,1.7697818668916,0.001,TRUE,0.962870778261115,0.599,FALSE,1.64998283703084,0.028,TRUE,0.952186446999083,0.589,FALSE,"BrayCurtis",1.7697818668916
"Moderate",0.6,100,44,1.62842146862955,0.00995024875621891,TRUE,0.8,0.6,0.35,0.4,0.6,0.7,19.7,0.890769230769231,1.30094654343654,0.003,TRUE,1.57691100391664,0.001,TRUE,1.1759347920497,0.186,FALSE,0.992614850587567,0.433,FALSE,1.07883946752408,0.344,FALSE,"BrayCurtis",1.57691100391664
"Moderate",0.6,100,45,1.55221321400839,0.0199004975124378,TRUE,0.4,0.2,0.25,0.2,0.2,0.5,24.1111111111111,0.854113655640373,1.23280183271097,0.015,TRUE,1.57101146406613,0.001,TRUE,0.740385484478694,0.952,FALSE,1.56160992507281,0.036,TRUE,0.667771487112745,0.955,FALSE,"BrayCurtis",1.57101146406613
"Moderate",0.6,100,46,1.40365499915009,0.194029850746269,FALSE,0.4,0.3,0.15,0.2,0.3,0.3,52.8,0.636153846153846,1.1195563760578,0.128,FALSE,1.20253226660297,0.035,TRUE,1.1970648639877,0.151,FALSE,1.50199631635585,0.084,FALSE,1.34659478136115,0.061,FALSE,"WeightedUniFrac",1.50199631635585
