"Effect_Size","Sample_Size","Simulation","MeLSI_F","MeLSI_p","MeLSI_significant","Euclidean_F","Euclidean_p","Euclidean_significant","BrayCurtis_F","BrayCurtis_p","BrayCurtis_significant","Jaccard_F","Jaccard_p","Jaccard_significant","WeightedUniFrac_F","WeightedUniFrac_p","WeightedUniFrac_significant","UnweightedUniFrac_F","UnweightedUniFrac_p","UnweightedUniFrac_significant","Best_Traditional","Best_Traditional_F"
"Large",100,25,2.43207401621173,0.00497512437810945,TRUE,2.2658665588758,0.001,TRUE,5.27552833219815,0.001,TRUE,1.06182135554303,0.356,FALSE,7.40893260775151,0.001,TRUE,1.05794696654454,0.399,FALSE,"WeightedUniFrac",7.40893260775151
"Small",200,25,1.64035284034532,0.0298507462686567,TRUE,1.18999976078535,0.027,TRUE,1.24757251112495,0.023,TRUE,1.34398920000007,0.028,TRUE,1.39942506615244,0.07,FALSE,1.26128147231808,0.118,FALSE,"WeightedUniFrac",1.39942506615244
"Medium",200,25,1.59603114750066,0.0348258706467662,TRUE,1.24635746133097,0.014,TRUE,2.051660851774,0.001,TRUE,0.795670363875495,0.894,FALSE,2.07031163836294,0.002,TRUE,0.904422136212549,0.673,FALSE,"WeightedUniFrac",2.07031163836294
"Large",200,25,3.01985790825537,0.00497512437810945,TRUE,2.77045654728209,0.001,TRUE,7.61900714961427,0.001,TRUE,1.28429884049309,0.066,FALSE,8.2468756248786,0.001,TRUE,1.41229597525366,0.029,TRUE,"WeightedUniFrac",8.2468756248786
"Small",50,26,1.27638142546774,0.298507462686567,FALSE,1.02613060088297,0.371,FALSE,0.997508899000956,0.509,FALSE,1.1008925020347,0.278,FALSE,1.96782797038466,0.002,TRUE,1.26461102846208,0.13,FALSE,"WeightedUniFrac",1.96782797038466
"Medium",50,26,1.12324206323955,0.776119402985075,FALSE,1.03024292072755,0.353,FALSE,1.52095988515107,0.001,TRUE,0.921802407319174,0.658,FALSE,1.14421590229019,0.266,FALSE,0.786307038140763,0.84,FALSE,"BrayCurtis",1.52095988515107
"Large",50,26,1.53800559006901,0.0149253731343284,TRUE,1.36572488845046,0.002,TRUE,2.61756530805077,0.001,TRUE,0.717667826417365,0.962,FALSE,3.12489897643945,0.001,TRUE,0.638036199222917,0.98,FALSE,"WeightedUniFrac",3.12489897643945
"Small",100,26,1.54622240309503,0.0149253731343284,TRUE,1.17242520966908,0.059,FALSE,1.16607039813323,0.07,FALSE,1.18604992678274,0.154,FALSE,1.178177129997,0.202,FALSE,1.03736978324237,0.408,FALSE,"Jaccard",1.18604992678274
"Medium",100,3,1.69172742818235,0.00497512437810945,TRUE,1.35858771838433,0.002,TRUE,1.73235554479408,0.001,TRUE,1.29230371014997,0.052,FALSE,1.87837382057269,0.007,TRUE,1.18225419047423,0.177,FALSE,"WeightedUniFrac",1.87837382057269
"Medium",100,26,1.43652967419846,0.0995024875621891,FALSE,1.14682487807716,0.075,FALSE,1.50745739985805,0.001,TRUE,0.898047393174432,0.72,FALSE,1.91663634070522,0.004,TRUE,0.638387692107473,0.96,FALSE,"WeightedUniFrac",1.91663634070522
